name,category,spanish,participation,country,region,season,summary,ages,price,nationality,validity,website,facebook,source,host,references
Boundless Sintra,permanent_commercial,False,,Portugal,Sintra,Year-round; join 1-12 months,Boundless Life location in Sintra. Biggest paid network.,1-14,"€5,830-9,130/month",,web candidate (High),boundless.life,,web research (WorldlyTribe; WorldschoolHubs blog; Worldschool Atlas) + web research,Boundless Life,Website: https://boundless.life ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Worldschool Atlas directory: https://theworldschoolatlas.com/ ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/ ; Boundless Life — destinations: https://www.boundless.life/topic/destinations ; Heath&Alyssa — Boundless ranked: https://heathandalyssa.com/we-tried-6-boundless-life-locations-heres-how-they-rank/
Inside Romania Worldschooling – Explore Transylvania with Teens,permanent_commercial,False,dropoff,Romania,Transylvania,Jun–Jul (summer),extracted from worldschooly.com listing (listing dated 2025-08-19),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Naturally Richer (High Tatras and central Slovakia),permanent_commercial,False,,Slovakia,High Tatras and central Slovakia,"Jul 24, 2026 – Aug 15, 2026",rendered from famunity.net,,,,inbox-approved,https://www.naturallyricher.com/hubslovakia,,inbox (browser:famunity.net),,Website: https://www.naturallyricher.com/hubslovakia
Nature Lore,permanent_commercial,False,dropoff,South Africa,"Noordhoek, Cape Town",Year-round,Nature-based school/program for nomad children.,5-16,Varies,,web candidate (Medium),naturelore.co.za,,web research (WorldlyTribe; WorldschoolHubs blog),Nature Lore,Website: https://naturelore.co.za ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/
Silvermist Academy,permanent_commercial,False,dropoff,South Africa,"Cape Town, Western Cape",30-day,"Full-term academy, Cape Town.",School-age,~$290/mo,,web candidate (Medium),https://silvermistacademy.co.za/,,web research (Worldschooly),,Website: https://silvermistacademy.co.za/ ; Worldschooly directory: https://worldschooly.com/hubs/
Silvermist Academy - Hands-On Learning Hub in Cape Town,permanent_commercial,False,dropoff,South Africa,Cape Town,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
ArtsVille Valenciana,permanent_commercial,False,family,Spain,Tibi,Whole year round,"Kids academy, teens academy; co-founding programs for entrepreneurs available","{""min"": 1, ""max"": 19, ""note"": ""Kids academy, teens academy""}",Medium to high,,from PDF,https://www.virtuosity.art,,PDF (June-2026 listing),"Shirin, Nina, Christian",Website: https://www.virtuosity.art ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
"Blattwerk Naturpädagogik (Valle Gran Rey (La Gomera), Spain)",permanent_commercial,False,,Spain,"Valle Gran Rey (La Gomera), Spain","Nov 28, 2026 – Dec 13, 2026",rendered from famunity.net,,,,inbox-approved,https://blattwerk-natur.de/worldschooling-hub-2025/,,inbox (browser:famunity.net),,Website: https://blattwerk-natur.de/worldschooling-hub-2025/ ; Bliss Investor — Pai (R19): https://blissinvestor.com/community/world-schoolers-in-pai-thailand/ ; Bangkok Post — Pai nationalities (R105): https://www.bangkokpost.com/thailand/general/2964833/israelis-under-immigration-microscope-in-pai
Boundless Estepona,permanent_commercial,False,,Spain,Estepona,Year-round; join 1-12 months,Boundless Life location in Estepona. Biggest paid network.,1-14,"€5,830-9,130/month",,web candidate (High),boundless.life,,web research (WorldlyTribe; WorldschoolHubs blog; Worldschool Atlas) + web research,Boundless Life,Website: https://boundless.life ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Worldschool Atlas directory: https://theworldschoolatlas.com/ ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/ ; Boundless Life — destinations: https://www.boundless.life/topic/destinations ; Heath&Alyssa — Boundless ranked: https://heathandalyssa.com/we-tried-6-boundless-life-locations-heres-how-they-rank/
Lumina Academy,permanent_commercial,False,dropoff,Spain,El Puerto de Santa María,All year except August and Spanish public holidays,A drop-off commercial worldschool hub in El Puerto de Santa María.,"{""min"": 3, ""max"": 12, ""note"": ""After-school family events 6\",€150–€480 per month (longer stays discounted),,from PDF,https://www.luminaedu.org,,PDF (June-2026 listing),María Nordwind,Website: https://www.luminaedu.org ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
NYsKOOL,permanent_commercial,False,dropoff,Spain,Barcelona,08/09/25 – 31/07/26 (11 months),American curriculum and Finnish methodology; hybrid in-person and online,"{""min"": 5, ""max"": 15}",€600–€850 per month,,from PDF,https://www.nyskool.org,,PDF (June-2026 listing),Andrei,Website: https://www.nyskool.org ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
"Shepherd&#039;s Rest Worldschooling Hub in Oria, Spain",permanent_commercial,False,dropoff,Spain,,,extracted from worldschooly.com listing (listing dated 2025-01-09),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/ ; Bliss Investor — Pai (R19): https://blissinvestor.com/community/world-schoolers-in-pai-thailand/ ; Bangkok Post — Pai nationalities (R105): https://www.bangkokpost.com/thailand/general/2964833/israelis-under-immigration-microscope-in-pai
Shepherd's Rest,permanent_commercial,False,family,Spain,"Oria, Almeria (Andalusia)",~30-day coliving,"Rural coliving, Andalusia. 5.0 (2 reviews).",Mixed,~$945/stay,,web candidate (Medium),https://shepherdsrest.org/,,web research (Worldschooly),,Website: https://shepherdsrest.org/ ; Worldschooly directory: https://worldschooly.com/hubs/
Valencia Forest School,permanent_commercial,False,dropoff,Spain,Valencia,September to July; full-time short-term and long-term places available,Forest School methodology,"{""min"": 3, ""max"": 12}",Short term places €850/month; part time and long term places available at a reduced rate,,from PDF,https://valenciaforestschool.es,,PDF (June-2026 listing),Alison Marchant,Website: https://valenciaforestschool.es ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Valencia Forest School in Spain,permanent_commercial,False,dropoff,Spain,Valencia,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/ ; Bliss Investor — Pai (R19): https://blissinvestor.com/community/world-schoolers-in-pai-thailand/ ; Bangkok Post — Pai nationalities (R105): https://www.bangkokpost.com/thailand/general/2964833/israelis-under-immigration-microscope-in-pai
Worldschooling Tanzania,permanent_commercial,False,dropoff,Tanzania,"Moshi, Kilimanjaro",21-day coliving sessions,"A drop-off commercial worldschool hub in Moshi, Kilimanjaro.",All,"~$2,900",,web candidate (Medium),https://www.amanilight.com/worldschool,,web research (Worldschooly; WorldlyTribe),Marissa L.,Website: https://www.amanilight.com/worldschool ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Worldschooly directory: https://worldschooly.com/hubs/
Elate,permanent_commercial,False,family,Thailand,Bangkok,Year-round,Structured hub for families who want big-city energy.,All,Varies,,web candidate (Medium),elateth.com,,web research (WorldlyTribe),Elate,Website: https://elateth.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Koh Lanta Bliss Hub - Thailand,permanent_commercial,False,dropoff,Thailand,,,extracted from worldschooly.com listing (listing dated 2025-10-21),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/ ; Scandasia — Koh Lanta Swedish (R103): https://scandasia.com/3397-taking-thaim-out-immensely-popular-among-the-swedes/ ; Parenting&Passports — Koh Lanta (R9): https://parentingandpassports.com/
NatureMind-ED Worldschooling,permanent_commercial,False,family,Thailand,Krabi,~10-day,"Nature-based worldschooling, Krabi. Near existing Krabi Family Fun.",Mixed,~$440,,web candidate (Medium),https://naturemind-ed.com/experiences/worldschooling/,,web research (Worldschooly),,Website: https://naturemind-ed.com/experiences/worldschooling/ ; Worldschooly directory: https://worldschooly.com/hubs/
"Naturemind Ed | Worldschooling Hub in Krabi, Thailand",permanent_commercial,False,dropoff,Thailand,,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Our Land Thailand,permanent_commercial,False,,Thailand,Mae Taeng valley (nr Chiang Mai),Year-round,Nature-based program outside Chiang Mai.,All,Varies,,web candidate (Medium),ourlandthailand.com,,web research (WorldlyTribe),Our Land,Website: https://ourlandthailand.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Pai Bliss Hub - Thailand,permanent_commercial,False,dropoff,Thailand,,,extracted from worldschooly.com listing (listing dated 2025-10-21),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/ ; Bliss Investor — Pai (R19): https://blissinvestor.com/community/world-schoolers-in-pai-thailand/ ; Bangkok Post — Pai nationalities (R105): https://www.bangkokpost.com/thailand/general/2964833/israelis-under-immigration-microscope-in-pai
Worldschooling Secondary School in Thailand | Global Classroom,permanent_commercial,False,dropoff,Thailand,Chiang Mai,,extracted from worldschooly.com listing (listing dated 2025-04-06),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Freedom Montessori Academy,permanent_commercial,False,dropoff,United States,"Thonotosassa, Florida",Short-term enrollment,Montessori school accepting worldschoolers.,Mixed,~$350/mo,,web candidate (Medium),https://freedommontessoriacademy.com/,,web research (Worldschooly),,Website: https://freedommontessoriacademy.com/ ; Worldschooly directory: https://worldschooly.com/hubs/
Freedom Montessori Academy | Homeschool in Florida,permanent_commercial,False,dropoff,United States,,,extracted from worldschooly.com listing (listing dated 2026-05-29),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Boundless La Barra,permanent_commercial,False,,Uruguay,"La Barra, Maldonado",Year-round; join 1-12 months,"Boundless Life location in La Barra, Maldonado. Biggest paid network.",1-14,"€5,830-9,130/month",,web candidate (High),boundless.life,,web research (WorldlyTribe; WorldschoolHubs blog; Worldschool Atlas) + web research,Boundless Life,Website: https://boundless.life ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Worldschool Atlas directory: https://theworldschoolatlas.com/ ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/ ; Boundless Life — destinations: https://www.boundless.life/topic/destinations ; Heath&Alyssa — Boundless ranked: https://heathandalyssa.com/we-tried-6-boundless-life-locations-heres-how-they-rank/
Worldschooling Hub in Hoi An – Harmony Alternative,permanent_commercial,False,dropoff,Vietnam,Hoi An,,extracted from worldschooly.com listing (listing dated 2026-06-05),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/ ; World Travel Ambitions — Hoi An (R15): https://worldtravelambitions.com/blog/worldschooling-hoi-an-vietnam-5-year-journey-accident-to-intention/ ; Thinking Nomads — Hoi An (R109): https://thinkingnomads.com/living-in-vietnam-with-children-hoi-an/
The World School,permanent_commercial,False,dropoff,travelling community,n/a,Travelling,A drop-off commercial worldschool hub in n/a.,All,Varies,,web candidate (Low),https://www.theworld.school/,,web research (WorldlyTribe),The World School,Website: https://www.theworld.school/ ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
KiRIWi Forest School,inactive,False,dropoff,,,,extracted from worldschooly.com listing (listing dated 2025-02-17),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com) + web research,,Worldschooly directory: https://worldschooly.com/hubs/
Minga House (Colegio Menfis),permanent_community,True,,Colombia,"Chinchina, Caldas (coffee region)",30-day theme sessions; max 9 families,"Spanish immersion alongside local students. Affordable, multi-source, clear detail.",K-12,~$115-370/month,,web candidate (High),mingahousefoundation.org,,web research (Worldschooly; WorldlyTribe; RemoteFamily),Minga House Foundation,Website: https://mingahousefoundation.org ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Worldschooly directory: https://worldschooly.com/hubs/ ; RemoteFamily directory: https://remotefamily.com/
The Creative World,permanent_community,False,dropoff,Costa Rica,,,extracted from theworldschoolatlas.com listing (listing dated 2025-05-06),,,,inbox-approved,https://www.educationthatinspires.com/thecreativeworld/,,inbox (aggregator-diff:theworldschoolatlas.com) + web research,,Website: https://www.educationthatinspires.com/thecreativeworld/
Cohli Family Coliving,permanent_community,False,family,France,Normandy,Coliving,Family coliving with shared meals and daily rhythm.,All,Varies,,web candidate (Medium),cohli.com,,web research (WorldlyTribe),Cohli,Website: https://cohli.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Kallipoli,permanent_community,False,family,Greece,(eco-community),Year-round,Eco-community welcoming worldschooling families.,All,Free/community,,web candidate (Medium),kallipoli.org,,web research (WorldlyTribe),Kallipoli,Website: https://kallipoli.org ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Noma Collective (Family Hub),permanent_community,False,family,Honduras,(coliving/coworking),Family Hub launching 2026,Coliving/coworking for nomadic families; family hub new for 2026.,Families,Varies,,web candidate (Medium),https://www.noma-collective.com/,,web research (WorldlyTribe; RemoteFamily),Noma Collective,Website: https://www.noma-collective.com/ ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; RemoteFamily directory: https://remotefamily.com/
Selong Bay WorldSchooling Hub,permanent_community,False,family,Indonesia,Selong Belanak,Jan 19 – 27th March; April 13 – 20th June; 20th July – 26th Sept; 5th Oct – 12th Dec; from 18th Jan 2027,"Cambridge curriculum, Australian National Curriculum and Indonesia's Curriculum Merdeka; supervision of students' own homeschooling or online programme","{""min"": 2, ""max"": 18}","$720 USD per month (minimum 1 month, full year available)",,from PDF,https://www.selongbayschool.com,,PDF (June-2026 listing),Elizabeth Berryman,Website: https://www.selongbayschool.com ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
We Are Tribe,inactive,False,family,Indonesia,"Ubud, Bali",Coliving,"Coliving community, Ubud.",Mixed,~$988/wk,,web candidate (Medium),worldschooly.com/hub/we-are-tribe/,,web research (Worldschooly),,Website: https://worldschooly.com/hub/we-are-tribe/ ; Worldschooly directory: https://worldschooly.com/hubs/
We Are Tribe: Worldschool Coliving in Bali,permanent_community,False,family,Indonesia,Bali,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Wild Hearts Collective,permanent_community,False,family,Indonesia,Sanur,"May, June, July and August 2026",Cultural enrichment and play-based learning,"{""min"": 4, ""max"": 12}",$750 USD,,from PDF,https://www.instagram.com/worldschoolingbali/,,PDF (June-2026 listing),Kay Choma and Joshua Macias,Website: https://www.instagram.com/worldschoolingbali/ ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Earthbound,permanent_community,False,,Italy,Southern Tuscany,Launching Spring 2027,Bilingual outdoor Waldorf-inspired education + eco-bungalows. Not open yet.,4-11,Varies,,web candidate (Medium),earthbound.living,,web research (RemoteFamily),Earthbound,Website: https://earthbound.living ; RemoteFamily directory: https://remotefamily.com/
Progetto Baita,permanent_community,False,family,Italy,Valsesia,Year-round,"Intentional international community in Italy's Valsesia Alps with ~25 permanent families and ~55 children, including Israelis.",,,Israeli + intl,Med,https://www.facebook.com/groups/progettobaita/,,web research (gathering-places + Spanish cut + traveling),,Delikaktus (HE) — Valsesia (GPT R32): https://www.tabletmag.com/
Sentira,inactive,False,family,Italy,Arezzo,Apr–Oct,"Israeli 'international kibbutz' on ~160 acres near Arezzo, Italy—a standing intentional community for nesting families, warm-season peak.",,,Israeli,Med,,,web research (gathering-places + Spanish cut + traveling),,Ynet (HE) — Israeli communities (R35): https://www.ynet.co.il/news/article/yokra14738200
Iyari Play Family Learning Retreat,permanent_community,True,family,Mexico,Lo de Marcos,March 30 – April 6 2026,"Nature immersion, bilingual learning, local flora and fauna, community outreach, natural sciences","{""min"": 3, ""max"": 12}","$450 USD/child, $400 USD/adult",,from PDF,https://www.iyariplay.org,,PDF (June-2026 listing),Nicole Marie Majewski,Website: https://www.iyariplay.org ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Semillitas Spanish in Nature,permanent_community,True,family,Mexico,Cuernavaca,July 27th – August 1st 2026,"Language immersion, environmental education and cultural learning; entrances, guided tours, local transport, 3 meals a day","{""min"": 6, ""note"": ""6+ and parents""}","$1,470 all inclusive",,from PDF,https://www.semillitasspanishinnature.com,,PDF (June-2026 listing),Alejandra Jiménez,Website: https://www.semillitasspanishinnature.com ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Mirleft Cultural Cove,permanent_community,False,dropoff,Morocco,,,extracted from worldschooly.com listing (listing dated 2025-05-30),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com) + web research,,Worldschooly directory: https://worldschooly.com/hubs/
Sacred Roots Hub,permanent_community,False,family,Peru,Between Calca and Urubamba,Starts November 7th 2025 and continues all year round — families can join anytime,"Holistic — nature, art, music, movement, hands-on science; multiple intelligences, emotional awareness, mindfulness; inclusive for neurodivergent children","{""min"": 3, ""max"": 16}",Education program: $500/child/month per 2 children · Accommodation: $800/family/month,Mixed intl (Spanish),from PDF,https://sacredrootshub.base44.app/,,PDF (June-2026 listing),Alexey and Issa,Website: https://sacredrootshub.base44.app/ ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Campus Da Terra,permanent_community,False,dropoff,Portugal,"Gaula, Madeira",Mon-Fri term,"Nature-immersed homeschooling hub on an organic farm, Madeira.",5-12,Varies,,web candidate (Medium),campusdaterra.org,,web research (RemoteFamily),Campus Da Terra,Website: https://campusdaterra.org ; RemoteFamily directory: https://remotefamily.com/
Homeschooling Hub in Madeira | Campus da Terra,permanent_community,False,dropoff,Portugal,Madeira,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Mama Adama,permanent_community,False,family,Portugal,Alentejo,Year-round,Israeli-founded eco-village network (founder Yariv Paz) helping families relocate to rural Portuguese natural-farming communes.,,,Israeli,Med,https://www.mama-adama.pt/,,web research (gathering-places + Spanish cut + traveling),,Website: https://www.mama-adama.pt/
Spirala Eco Village,permanent_community,False,family,Portugal,Castelo Branco,Year-round,"Israeli ecological community on ~104 forested acres near Castelo Branco, Portugal.",,,Israeli,Med,https://spiralaecovillage.com/,,web research (gathering-places + Spanish cut + traveling),,Website: https://spiralaecovillage.com/ ; Ynet (HE) — Israeli communities (R35): https://www.ynet.co.il/news/article/yokra14738200
Las Semillitas,inactive,True,family,Spain,Spain,From January 2025 onwards,"Worldschooling, nature, forest-school, Montessori-oriented; social worker / theatre teacher in charge","{""min"": 3, ""max"": 99}",To be agreed upon,,from PDF,,,PDF (June-2026 listing),Belle Hiffmann,Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Ubuntu Worldschool (Espacio Ubuntu),permanent_community,False,family,Spain,"Pasiego Valleys, Cantabria",Apr & Nov 2026 sessions,"Rural coliving worldschooling hub, northern Spain.",Families,Varies,,web candidate (Medium),espacioubuntu.org,,web research (WorldschoolHubs blog),Ubuntu,Website: https://espacioubuntu.org ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/
iSlowCoLiving,permanent_community,True,family,Spain,"Costa da Morte, Galicia",Coliving,Coliving + coworking immersive community on NW Spanish coast.,All,Varies,,web candidate (Medium),islowcoliving.com,,web research (RemoteFamily),iSlowCoLiving,Website: https://islowcoliving.com ; RemoteFamily directory: https://remotefamily.com/
Folkortation,permanent_community,False,family,Thailand,Mekong River,Contact for dates — 2025 & 2026,"Live with locals along the Mekong — fishing, farming, cooking and traditional practices; English–Thai-speaking guide included","{""min"": 3, ""max"": 60, ""note"": ""Whole family""}",Contact for brochure,,from PDF,https://www.facebook.com/folkortationthailand,https://www.facebook.com/folkortationthailand,PDF (June-2026 listing),Coordination Rebecca Wegmann,Facebook / Instagram: https://www.facebook.com/folkortationthailand ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Narnia / Arkee,inactive,False,dropoff,Thailand,Koh Phangan,Nov–Apr,Israeli-founded forest/green school on Koh Phangan serving the island's large Israeli family community (under regulatory scrutiny).,,,Israeli,Med (⚠ legal),,,web research (gathering-places + Spanish cut + traveling),,Mako (HE) — Narnia (R34): https://www.mako.co.il/home-family-kids/back_to_school/Article-0fb52656bdb0281027.htm
Green Coco Sailing Adventures | Family-Friendly Sailing,popup,False,family,,,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Treehouse Summit,popup,False,dropoff,,,,extracted from worldschooly.com listing (listing dated 2026-04-17),,,,inbox-approved,https://treehousebansko.com/summit2026/,,inbox (aggregator-diff:worldschooly.com) + web research,,Website: https://treehousebansko.com/summit2026/ ; Worldschooly directory: https://worldschooly.com/hubs/
Twin Eagles Wilderness Camps for Kids &amp; Teens,popup,False,dropoff,,,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Wander &amp; Wonder | European Worldschool Pop-up Hub,popup,False,dropoff,,,,extracted from worldschooly.com listing (listing dated 2025-07-30),,,Mixed intl,High,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Worldschool Pop-Up Hub,popup,False,family,,,Ongoing pop-ups worldwide,"No structured program; visit museums, historic places and nature areas to explore local history & culture","{""note"": ""All ages""}","Max $180/family, discounts available",Mixed intl,High,https://www.worldschoolpopuphub.com/,,PDF (June-2026 listing),Rachel Carlson (local hosts vary),Website: https://www.worldschoolpopuphub.com/ ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Buenos Aires Worldschool Pop-Up Hub December 2026,popup,False,dropoff,Argentina,Buenos Aires,,extracted from worldschooly.com listing,,,Mixed intl,High,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Austrian Alps Worldschooling Retreat for Families,popup,False,family,Austria,,,extracted from worldschooly.com listing (listing dated 2026-05-10),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
"Worldschool Pop-Up Hub (Vienna, Austria)",popup,False,dropoff,Austria,"Vienna, Austria","Jul 20, 2026 – Jul 26, 2026",rendered from famunity.net,,,Mixed intl,High,https://www.worldschoolpopuphub.com/upcoming-events,,inbox (browser:famunity.net),,Website: https://www.worldschoolpopuphub.com/upcoming-events
Worldschooling Bansko,popup,False,family,Bulgaria,Bansko,Jan 4-Feb 14 & Feb 22-Apr 4 (winter/ski season),Bansko = the 'worldschooling capital'. Israeli families explicitly present.,Families,Varies,UK / Dutch / Israeli,High,https://www.facebook.com/groups/1458088764967558,facebook.com/groups/1458088764967558 (Home/World Schooling Families Bansko),web research (Worldschooly; Worldschool Atlas; multiple blogs),,Facebook / Instagram: https://facebook.com/groups/1458088764967558 (Home/World Schooling Families Bansko) ; Worldschooly directory: https://worldschooly.com/hubs/ ; Worldschool Atlas directory: https://theworldschoolatlas.com/ ; Parenting&Passports — Bansko (R8): https://parentingandpassports.com/worldschooling-community-bansko-bulgaria/ ; Education Next — Bansko (R12): https://www.educationnext.in/posts/bansko-the-world-schooling-capital-of-the-world ; TRVbox (HE) — Bansko with kids (R94): https://www.trvbox.co.il/bansko-with-kids/
Cacao Coast Classroom,popup,False,family,Costa Rica,Puerto Viejo,"Seasonal 'Seeds & Stories' and 'Roots & Rhythms' terms across 2026–2027 (Summer, Autumn, Spring, Late Spring)","Cooking, conservation, community, culture","{""min"": 7, ""note"": ""7+""}","$2,800",Mixed intl,from PDF,https://www.cacaocoastcr.com,,PDF (June-2026 listing),Claire and Sam,Website: https://www.cacaocoastcr.com ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Field School Hvar,popup,False,dropoff,Croatia,Hvar island,Summer & autumn sessions,"Island-based seasonal learning program. Multi-source, clear website + ages.",4-15,Varies,,web candidate (High),fieldschoolhvar.org,,web research (WorldlyTribe; WorldschoolHubs blog; RemoteFamily),Field School,Website: https://fieldschoolhvar.org ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/ ; RemoteFamily directory: https://remotefamily.com/
Worldschool Gathering Croatia – October 2025 Hub,popup,False,family,Croatia,,,extracted from worldschooly.com listing (listing dated 2025-06-20),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Green Coco Sailing Adventures,popup,False,family,Dominican Republic,Caribbean (sailing),9-day cruises,Family sailing/cruise adventures.,Families,"~$1,100",,web candidate (Medium),https://www.greencoco.org,,web research (Worldschooly),Green Coco,Website: https://www.greencoco.org ; Worldschooly directory: https://worldschooly.com/hubs/
The Hive,popup,False,family,Dominican Republic,Various,Various dates and locations — see website,"Micro projects, community engagement, regeneration projects, nature walks, beaches, learning through doing","{""note"": ""All ages welcome""}",Varies — check website,Mixed intl,High,https://www.thehiveadventure.com,,PDF (June-2026 listing) + inbox,Kate Maccallister,Website: https://www.thehiveadventure.com ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Egyptian Adventures,popup,False,dropoff,Egypt,Luxor,Oct–Apr,"Montessori-based, child-led, immersive; art & crafts, music, history, culture, nature, excursions, workshops, projects; also for disabled children in wheelchairs","{""min"": 3, ""max"": 17}",EUR500 / EUR520,,from PDF,https://wshluxor.com,https://www.facebook.com/egyptianadventure,PDF (June-2026 listing) + inbox,Liana Zanin,Website: https://wshluxor.com ; Facebook / Instagram: https://www.facebook.com/egyptianadventure ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
World School Pop Up El Salvador,popup,True,dropoff,El Salvador,Antiguo Cuscatlán,6–25 July 2026,Spanish immersion and Montessori cultural camp; for 7–16s a Business Builders Camp culminating in a Children's Business Fair,"{""min"": 3, ""max"": 16, ""note"": ""3 \u2013 16+""}",$800,,Med,http://www.actonacademyelsalvador.com/worldschool-hub,,PDF (June-2026 listing),Shannon Falkenstein / Acton Academy El Salvador,Website: http://www.actonacademyelsalvador.com/worldschool-hub ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Worldschool Pop Up El Salvador,popup,False,dropoff,El Salvador,,,extracted from worldschooly.com listing (listing dated 2026-02-11),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Espionage Engineers,popup,False,family,Estonia,Tallinn,Aug 17 – Sep 10 2026,"4 academic learning days/week with US-licensed teacher: math, history, science, engineering","{""min"": 12, ""max"": 15}","$2,650",,from PDF,https://www.worldwiselearningadventures.org/,,PDF (June-2026 listing),Lise Whitfield,Website: https://www.worldwiselearningadventures.org/ ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Galactic Gazers,popup,False,family,France,Aix-en-Provence,Sep 14 – Oct 8 2026,"4 academic learning days/week with US-licensed teacher: math tutorials, French language, science, literacy, movement","{""min"": 9, ""max"": 12}","$3,250",,from PDF,https://www.worldwiselearningadventures.org/,,PDF (June-2026 listing),Lise Whitfield,Website: https://www.worldwiselearningadventures.org/ ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
